,n12849279,n07903208,n03407865,n04026417,n09247410,n03326795,n08521623,n04308583
n12849279,1,-1,0,0,0,0,0,0
n07903208,-1,1,0,0,0,0,0,0
n03407865,0,0,1,1,0,0,0,0
n04026417,0,0,1,1,0,0,0,0
n09247410,0,0,0,0,1,1,0,0
n03326795,0,0,0,0,1,1,0,0
n08521623,0,0,0,0,0,0,1,1
n04308583,0,0,0,0,0,0,1,1
