,n05238282,n01816887,n03767459,n02338145,n10126177,n02002724,n00141669,n11723452,n03537085,n04313628,n01521399
n05238282,1,-1,-1,0,0,0,0,0,0,0,0
n01816887,-1,1,0,0,0,0,0,0,0,0,0
n03767459,-1,0,1,0,0,0,0,0,0,0,0
n02338145,0,0,0,1,-1,0,0,0,0,0,0
n10126177,0,0,0,-1,1,0,0,0,0,0,0
n02002724,0,0,0,0,0,1,-1,1,0,0,0
n00141669,0,0,0,0,0,-1,1,0,0,0,0
n11723452,0,0,0,0,0,1,0,1,0,0,0
n03537085,0,0,0,0,0,0,0,0,1,1,-1
n04313628,0,0,0,0,0,0,0,0,1,1,0
n01521399,0,0,0,0,0,0,0,0,-1,0,1
